genre,artist_name,track_name,Rank_x,emotion_score_x,emotion_bucket,Rank,Year,Genre,emotion_score_y,engagement_score
12,9738,41208,0.3936170212765957,0.57,56,0.3924449108079748,1997.0,6,0.58,0.393
13,5852,32666,0.4468085106382978,0.42,42,0.4286463798530955,1998.0,11,0.43,0.438
16,3258,27270,0.946808510638298,0.81,81,0.9485834207764952,1992.0,2,0.8,0.948
4,4844,41566,1.0,0.69,69,1.0,2006.0,10,0.7,1.0
18,3094,17287,0.4680851063829787,0.76,76,0.4685204616998951,1998.0,7,0.77,0.468
25,9159,4865,0.5425531914893617,0.57,56,0.5508919202518363,2001.0,6,0.58,0.547
11,1141,41537,0.351063829787234,0.62,62,0.3541448058761804,2005.0,8,0.63,0.353
7,7058,31487,0.8191489361702128,0.56,56,0.8174186778593914,1998.0,6,0.58,0.818
9,7695,56964,0.2872340425531914,0.57,56,0.2885624344176286,1997.0,6,0.58,0.288
6,579,441,1.0,0.79,79,0.9805876180482688,2008.0,2,0.8,0.99
17,5682,18067,0.0531914893617021,0.49,49,0.0540398740818468,2005.0,9,0.5,0.054
25,5788,57225,0.6276595744680851,0.76,76,0.633788037775446,2004.0,7,0.77,0.631
26,4424,50951,0.7553191489361702,0.86,86,0.7612801678908709,2002.0,1,0.85,0.758
8,1817,51706,0.5,0.44,44,0.5026232948583421,2002.0,11,0.43,0.501
25,9221,8414,0.5744680851063829,0.76,76,0.5729275970619098,2003.0,7,0.77,0.574
26,3611,29804,0.6382978723404256,0.42,42,0.6636935991605457,1998.0,11,0.43,0.651
15,8730,24961,0.7872340425531915,0.29,28,0.7896117523609654,1997.0,4,0.27,0.788
11,2460,22373,0.4574468085106383,0.26,26,0.4580272822665268,1996.0,4,0.27,0.458
11,1425,195,0.4361702127659574,0.57,56,0.4407135362014691,2002.0,6,0.58,0.438
11,8744,20295,0.2872340425531914,0.69,69,0.2869884575026233,2010.0,10,0.7,0.287
10,191,42988,0.648936170212766,0.43,43,0.6636935991605457,1998.0,11,0.43,0.656
3,6115,2705,0.3404255319148936,0.56,56,0.3410283315844701,1998.0,6,0.58,0.341
16,4530,31229,0.7978723404255319,0.85,85,0.8058761804826863,2008.0,1,0.85,0.802
26,7621,51732,0.7127659574468085,0.69,69,0.7135362014690452,2000.0,10,0.7,0.713
14,6702,50063,0.4574468085106383,0.56,56,0.4464847848898216,2001.0,6,0.58,0.452
3,4371,13943,0.6702127659574468,0.5,50,0.6699895068205667,2003.0,3,0.5,0.67
20,1105,25295,0.6914893617021276,0.57,56,0.6941238195173137,2002.0,6,0.58,0.693
