genre,artist_name,track_name,Rank_x,emotion_score_x,emotion_bucket,Rank,Game Title,Year,Genre,emotion_score_y
Opera,Maria Callas,""" La Traviata "" : Amami Alfredo (Act II) - Digitally Remastered",0.6702127659574468,0.79,79,0.6647429171038824,SoulCalibur II,2003.0,Fighting,0.8
Indie,The Gaslight Anthem,"""45""",0.4893617021276595,0.26,26,0.4889821615949632,The Simpsons Game,2007.0,Platform,0.27
Opera,Gaetano Donizetti,"""Ah mes amis - Pour mon âme""",0.7127659574468085,0.63,63,0.7124868835257083,James Bond 007: Everything or Nothing,2004.0,Shooter,0.63
Opera,Jules Massenet,"""Ai-je dit vrai?""",0.946808510638298,0.86,86,0.954354669464848,The Legend of Zelda: Twilight Princess,2006.0,Adventure,0.85
Soundtrack,Alan Silvestri,"""All That Is or Ever Was or Ever Will Be""",0.4787234042553191,0.86,86,0.4590766002098636,Drawn To Life: SpongeBob SquarePants Edition,2008.0,Adventure,0.85
Opera,Jules Massenet,"""Alors, c'est bien ici""",0.9361702127659576,0.78,78,0.9375655823714586,Dragon Quest IX: Sentinels of the Starry Skies,2009.0,Role-Playing,0.77
Opera,Giuseppe Verdi,"""Alta cagion v'aduna""",0.7872340425531915,0.69,69,0.7875131164742918,Sega Superstars Tennis,2008.0,Sports,0.7
Opera,Plácido Domingo,"""Amapola""",0.925531914893617,0.5,50,0.9281217208814272,Pokémon Pinball,1999.0,Misc,0.5
Movie,Judy Kuhn,"""Are You Running Away from Me?""",0.9680851063829788,0.49,49,0.9679958027282268,Mario Party DS,2007.0,Misc,0.5
Blues,The Blues Brothers,"""B"" Movie Box Car Blues - Live Version",0.6595744680851063,0.44,44,0.6636935991605457,Sim Theme Park,1998.0,Strategy,0.43
Soundtrack,Alan Silvestri,"""Best Day Ever""",0.425531914893617,0.86,86,0.4312696747114375,LEGO Indiana Jones: The Original Adventures,2008.0,Adventure,0.85
Anime,MY FIRST STORY,"""Boom""",0.6914893617021276,0.29,28,0.6935991605456453,LittleBigPlanet,2009.0,Platform,0.27
Comedy,Eddie Murphy,"""Buckwheat""",0.776595744680851,0.44,44,0.7743966421825813,Pokémon Stadium 2,2000.0,Strategy,0.43
Children's Music,Little Apple Band,"""C"" Is for Cookie",0.9787234042553192,0.27,27,0.978488982161595,Super Mario Land 2: 6 Golden Coins,1992.0,Platform,0.27
Opera,Alessandro Scarlatti,"""Caldo Sangue""",0.8191489361702128,0.85,85,0.8210912906610703,The Legend of Zelda: Spirit Tracks,2009.0,Adventure,0.85
Opera,Gioachino Rossini,"""Cessa di più resistere""",0.9042553191489362,0.69,69,0.9060860440713536,Tony Hawk's Pro Skater 2,2000.0,Sports,0.7
Classical,Wolfgang Amadeus Mozart,"""Ch'io mi scordi di te... Non temer, amato bene"", K.505",0.5,0.76,76,0.5005246589716684,Dragon Quest V: Hand of the Heavenly Bride,2008.0,Role-Playing,0.77
Opera,Giuseppe Verdi,"""Che veggo!...Egli?...Mio padre!""",0.8191489361702128,0.81,81,0.8153200419727178,Dragon Ball Z: Budokai,2002.0,Fighting,0.8
Opera,Giuseppe Verdi,"""Chi mai fra gl'inni e i plausi""",0.7978723404255319,0.84,84,0.8058761804826863,LEGO Batman: The Videogame,2008.0,Adventure,0.85
Classical,Johann Sebastian Bach,"""Christen, ätzet diesen Tag"", BWV 63: I. Choral ""Christen, ätzet diesen Tag""",0.5425531914893617,0.44,44,0.5383001049317944,Pikmin,2001.0,Strategy,0.43
Classical,Antonio Vivaldi,"""Concerto Funebre"" con hautbois sordini e salmoè, violino principale e viole da gamba (Si Bem. Maggiore, RV 579): II. Allegro poco poco",0.5531914893617021,0.84,84,0.55299055613851,"Monsters, Inc.",2001.0,Adventure,0.85
Opera,Giuseppe Verdi,"""Di Provenza il mar...Né risponde d'un padre...""",0.9361702127659576,0.84,84,0.9260230849947534,Assassin's Creed,2007.0,Adventure,0.85
Classical,Wolfgang Amadeus Mozart,"""Don Giovanni, a cenar teco m'invitasti""",0.6702127659574468,0.8,80,0.6647429171038824,SoulCalibur II,2003.0,Fighting,0.8
Opera,Jules Massenet,"""Elle m'aime...elle pense à moi...Quelle prière de reconnaissance et d'amour""",0.946808510638298,0.8,80,0.9485834207764952,Street Fighter II: The World Warrior,1992.0,Fighting,0.8
Opera,Jules Massenet,"""Et moi, Werther, et moi je t'aime!""",0.946808510638298,0.86,86,0.954354669464848,The Legend of Zelda: Twilight Princess,2006.0,Adventure,0.85
Opera,Gaetano Donizetti,"""Favorita del re...Spirto gentil""",0.9680851063829788,0.81,81,0.9590766002098636,Tekken 3,1998.0,Fighting,0.8
Opera,Philharmonia Orchestra,"""Folle di Gelosia"" from Il Tabarro - Voice",0.7553191489361702,0.85,85,0.7612801678908709,Harry Potter and the Chamber of Secrets,2002.0,Adventure,0.85
Opera,Jules Massenet,"""Frère, voyez le beau bouquet!...Du gai soleil, plein de flamme...Heureux! Pourrai-je l'être encore?...Du gai soleil""",0.9148936170212766,0.81,81,0.9359916054564532,Super Smash Bros.,1999.0,Fighting,0.8
