label,TimbreAvg1
2001,49.94357
2001,48.73215
2001,50.95714
2001,48.2475
2001,50.9702
2001,50.54767
2001,50.57546
2001,48.26892
2001,49.75468
2007,45.17809
2008,39.13076
2002,37.66498
2004,26.51957
2003,37.68491
1999,39.11695
2003,35.05129
2002,33.63129
1992,41.38639
1997,37.45034
1987,39.71092
2000,37.22392
2000,41.37983
2005,42.15927
2000,33.24221
1997,44.21532
1997,42.43713
1996,45.84368
1997,43.41819
1997,41.23391
1997,38.59486
1997,45.52338
1997,42.18654
1997,40.53094
1997,41.6502
1997,46.14711
1998,45.28707
2000,50.86288
2000,49.52684
2001,50.31409
2000,43.45689
2000,41.60831
2000,45.24636
2000,45.65392
2000,50.76908
1998,43.55369
2000,47.78392
2000,46.74668
2000,46.31975
2000,48.90355
2003,46.3173
2003,48.74021
2001,47.07198
2003,46.57028
2001,50.38848
2003,46.9056
2003,48.17885
2003,48.12588
2003,44.22182
2003,41.80813
2003,44.20112
2003,45.63715
2003,44.04399
2007,47.8518
2007,47.00735
2007,47.93517
2007,49.48165
2009,45.7228
2009,47.97539
2009,49.18434
2009,47.81721
2009,46.7781
2009,47.48739
2009,48.61503
2009,44.41146
2009,49.03794
2009,49.80495
2009,50.24321
2009,47.10446
2009,50.6849
2009,46.74175
2008,51.01941
2009,51.57836
2009,49.5319
2009,50.01039
2009,46.32156
2008,48.70251
2008,51.90579
2009,47.55334
2009,46.59915
2008,40.54108
2008,41.51056
2009,43.86276
2009,46.79157
2009,49.73491
2008,40.44899
2008,40.52844
2007,42.50667
2008,35.90924
2007,38.19679
2008,39.34269
2008,36.57341
2009,47.57913
2009,50.01514
2009,47.46427
2008,42.40756
2008,42.93189
2008,47.25722
2008,51.47089
2008,45.90578
2008,50.54486
2007,44.90167
2004,46.55475
2007,42.26736
2007,43.26565
2007,44.66225
2007,41.05283
2007,43.4845
2007,42.1623
2007,38.1046
2007,40.31668
2007,42.44807
2007,42.64669
2007,41.72759
2007,46.44969
2007,43.78223
2007,43.41149
2007,45.13814
2007,44.85672
2007,40.97677
2007,42.66545
2007,45.80213
2007,45.14394
2007,43.78916
2007,44.01105
2007,44.48588
2007,43.26955
2007,44.09731
2007,50.07499
2007,50.86772
2004,48.22872
2004,45.97266
2004,46.47517
2004,47.71797
2004,48.96983
2004,48.01914
2004,49.97554
2004,48.58166
2004,47.64102
2004,48.22278
2004,47.77097
2004,48.97928
2004,47.15666
2004,47.42486
2004,44.73414
2004,47.95455
2009,42.55213
2009,41.98869
2009,41.10595
2009,45.29773
2009,45.01825
2009,42.87455
2009,45.02449
2009,43.0437
2009,41.53981
2009,46.00028
2009,45.47924
2009,45.0792
2009,45.39386
2009,44.23727
2009,46.54569
2009,40.72961
2009,44.53356
2006,44.55663
2006,38.32025
2009,43.67237
2009,42.99361
2009,43.76116
2009,43.667
2009,43.74951
2009,40.00607
1993,29.17835
1993,34.84668
1993,31.44647
1993,36.16378
1993,36.77982
1993,32.37845
1993,29.9688
1993,33.73687
1993,36.11855
1993,35.45823
1996,32.82265
2005,44.93266
1991,33.50191
1991,33.88737
1933,35.52117
1991,31.1901
1991,32.60431
1991,28.10519
1991,26.88178
1930,20.82134
1935,28.23865
2005,27.35507
2000,29.25394
1991,28.11352
1991,31.58385
1995,31.77051
1999,29.67018
1999,34.37329
1941,31.96273
1991,29.97597
2005,32.59242
1995,33.48967
1990,31.63633
1999,50.08686
2000,37.71109
1991,28.29177
1991,34.61642
1999,34.53239
1997,36.28145
2000,37.64455
1930,35.55615
1991,30.62058
1930,35.57837
1995,33.92467
1991,30.75685
1991,36.86711
1991,30.34043
1991,31.89495
1991,33.47613
1995,32.68738
1999,34.5223
1999,33.99925
1991,35.74892
1991,28.30576
1991,35.25149
1997,31.84167
1991,31.87685
1999,32.28914
1990,32.35111
1941,31.02982
1941,30.25882
1997,29.52297
1997,34.332
1997,33.6312
1943,30.21388
1991,40.40612
1996,35.36799
2000,31.47252
2000,40.55557
2000,43.27891
2000,39.55972
2000,43.53799
2000,40.82263
2000,32.2075
2000,40.40951
2000,37.87842
2007,43.85559
2007,38.77927
2007,37.66014
2007,35.45531
2007,43.4876
2007,42.73283
2007,44.29794
2007,46.77684
2007,42.57723
2007,47.0072
2007,40.60603
2008,43.5733
2007,44.73024
2001,46.98151
2009,45.14947
2006,45.18684
2002,41.79039
2002,44.98863
2002,40.47992
2008,44.30166
2008,45.25727
2002,41.6001
2002,41.49984
