Rank,Game Title,Year,Genre
1,Wii Sports,2006.0,Sports
2,Super Mario Bros.,1985.0,Platform
3,Mario Kart Wii,2008.0,Racing
4,Wii Sports Resort,2009.0,Sports
5,Tetris,1989.0,Puzzle
6,New Super Mario Bros.,2006.0,Platform
7,Wii Play,2006.0,Misc
8,Duck Hunt,1984.0,Shooter
9,New Super Mario Bros. Wii,2009.0,Platform
10,Nintendogs,2005.0,Simulation
11,Pokémon Gold / Silver Version,1999.0,Role-Playing
12,Wii Fit,2007.0,Sports
13,Mario Kart DS,2005.0,Racing
14,Wii Fit Plus,2009.0,Sports
15,Grand Theft Auto: San Andreas,2004.0,Action
16,Super Mario World,1990.0,Platform
17,Brain Age: Train Your Brain in Minutes a Day,2005.0,Misc
18,Kinect Adventures!,2010.0,Misc
19,Super Mario Land,1989.0,Platform
20,Pokémon Diamond / Pearl Version,2006.0,Role-Playing
21,Super Mario Bros. 3,1988.0,Platform
22,Grand Theft Auto: Vice City,2002.0,Action
23,Pokémon Ruby / Sapphire Version,2002.0,Role-Playing
24,Brain Age 2: More Training in Minutes a Day,2005.0,Misc
25,Gran Turismo 3: A-Spec,2001.0,Racing
26,Call of Duty: Modern Warfare 3,2011.0,Shooter
27,Pokémon Yellow: Special Pikachu Edition,1998.0,Role-Playing
28,Pokémon Black / White Version,2010.0,Role-Playing
29,Call of Duty: Black Ops,2010.0,Shooter
30,Grand Theft Auto III,2001.0,Action
31,Call of Duty: Modern Warfare 2,2009.0,Shooter
32,Call of Duty: Modern Warfare 3,2011.0,Shooter
33,Super Mario 64,1996.0,Platform
34,Call of Duty: Black Ops,2010.0,Shooter
35,Call of Duty: Black Ops II,2012.0,Shooter
36,Animal Crossing: Wild World,2005.0,Simulation
37,Halo 3,2007.0,Shooter
38,Super Smash Bros. Brawl,2008.0,Fighting
39,Pokémon Heart Gold / Soul Silver Version,2009.0,Role-Playing
40,Gran Turismo 4,2004.0,Racing
41,The Sims,2000.0,Simulation
42,Super Mario Land 2: 6 Golden Coins,1992.0,Platform
43,Gran Turismo,1997.0,Racing
44,Super Mario Galaxy,2007.0,Platform
45,Super Mario All-Stars,1993.0,Platform
46,Pokémon FireRed / LeafGreen Version,2004.0,Role-Playing
47,Grand Theft Auto IV,2008.0,Action
48,Call of Duty: Modern Warfare 2,2009.0,Shooter
49,Super Mario 64 DS,2004.0,Platform
50,Mario Kart 64,1996.0,Racing
51,Call of Duty: Black Ops II,2012.0,Shooter
52,Just Dance 3,2011.0,Misc
53,Final Fantasy VII,1997.0,Role-Playing
54,Grand Theft Auto IV,2008.0,Action
55,Halo: Reach,2010.0,Shooter
56,Just Dance 2,2010.0,Misc
57,Gran Turismo 2,1999.0,Racing
58,Donkey Kong Country,1994.0,Platform
59,Call of Duty 4: Modern Warfare,2007.0,Shooter
60,Gran Turismo 5,2010.0,Racing
61,Super Mario Kart,1992.0,Racing
62,Mario Party DS,2007.0,Misc
63,Halo 2,2004.0,Shooter
64,Super Mario 3D Land,2011.0,Platform
65,Wii Party,2010.0,Misc
66,GoldenEye 007,1997.0,Shooter
67,Final Fantasy X,2001.0,Role-Playing
68,Myst,1994.0,Adventure
69,Halo 4,2012.0,Shooter
70,Mario Party 8,2007.0,Misc
71,Mario & Sonic at the Olympic Games,2007.0,Sports
72,Final Fantasy VIII,1999.0,Role-Playing
73,Mario Kart 7,2011.0,Racing
74,The Legend of Zelda: Ocarina of Time,1998.0,Adventure
75,Pokémon Platinum Version,2008.0,Role-Playing
76,Grand Theft Auto: Liberty City Stories,2005.0,Action
77,Super Mario Bros. 2,1988.0,Platform
78,Need for Speed Underground,2003.0,Racing
79,Tekken 3,1998.0,Fighting
80,The Elder Scrolls V: Skyrim,2011.0,Role-Playing
81,Super Smash Bros. Melee,2001.0,Fighting
82,Super Mario Galaxy 2,2010.0,Platform
83,Just Dance,2009.0,Misc
84,Mario Kart: Double Dash!!,2003.0,Racing
85,Call of Duty: World at War,2008.0,Shooter
86,Need for Speed Underground 2,2004.0,Racing
87,Medal of Honor: Frontline,2002.0,Shooter
88,The Legend of Zelda: Twilight Princess,2006.0,Adventure
89,Battlefield 3,2011.0,Shooter
90,Gears of War 2,2008.0,Shooter
91,Big Brain Academy,2005.0,Misc
92,The Legend of Zelda,1986.0,Adventure
93,Halo: Combat Evolved,2001.0,Shooter
94,Pokémon Emerald Version,2004.0,Role-Playing
95,Pokémon Crystal Version,2000.0,Role-Playing
96,Pokemon Black / White Version 2,2012.0,Role-Playing
97,FIFA Soccer 12,2011.0,Sports
98,Super Mario Sunshine,2002.0,Platform
99,Street Fighter II: The World Warrior,1992.0,Fighting
100,Zumba Fitness,2010.0,Sports
101,Call of Duty 4: Modern Warfare,2007.0,Shooter
102,Battlefield 3,2011.0,Shooter
103,Driver,1999.0,Action
104,World of Warcraft,2004.0,Role-Playing
105,FIFA Soccer 13,2012.0,Action
106,Halo 3: ODST,2009.0,Shooter
107,Uncharted 2: Among Thieves,2009.0,Action
108,Metal Gear Solid 2: Sons of Liberty,2001.0,Action
109,Sonic the Hedgehog 2,1992.0,Platform
110,Metal Gear Solid,1998.0,Action
111,Gears of War,2006.0,Shooter
112,Final Fantasy XII,2006.0,Role-Playing
113,Donkey Kong Country Returns,2010.0,Platform
114,Kingdom Hearts,2002.0,Role-Playing
115,Resident Evil 2,1998.0,Action
116,Gears of War 3,2011.0,Shooter
117,Uncharted 3: Drake's Deception,2011.0,Action
118,Metal Gear Solid 4: Guns of the Patriots,2008.0,Action
119,Tekken 2,1996.0,Fighting
120,Dragon Quest IX: Sentinels of the Starry Skies,2009.0,Role-Playing
121,New Super Mario Bros. 2,2012.0,Platform
122,Tetris,1988.0,Puzzle
123,Super Smash Bros.,1999.0,Fighting
124,Kinect Sports,2010.0,Sports
125,Super Mario Advance,2001.0,Platform
126,Mario Kart: Super Circuit,2001.0,Racing
127,Red Dead Redemption,2010.0,Action
128,Super Mario World: Super Mario Advance 2,2001.0,Platform
129,Cooking Mama,2006.0,Simulation
130,Pokémon Stadium,1999.0,Strategy
131,Crash Bandicoot: The Wrath of Cortex,2001.0,Platform
132,Red Dead Redemption,2010.0,Action
133,Assassin's Creed II,2009.0,Action
134,Monster Hunter Freedom Unite,2008.0,Role-Playing
135,Forza Motorsport 3,2009.0,Racing
136,Dr. Mario,1989.0,Puzzle
137,Just Dance 4,2012.0,Misc
138,Pokémon Pinball,1999.0,Misc
139,Final Fantasy IX,2000.0,Role-Playing
140,Final Fantasy X-2,2003.0,Role-Playing
141,Donkey Kong 64,1999.0,Platform
142,Assassin's Creed,2007.0,Adventure
143,Tomb Raider II,1997.0,Adventure
144,Madden NFL 2004,,Sports
145,Dragon Quest VIII: Journey of the Cursed King,2004.0,Role-Playing
146,Super Mario Advance 4: Super Mario Bros. 3,2003.0,Platform
147,Super Mario Land 3: Wario Land,1994.0,Platform
148,LittleBigPlanet,2008.0,Platform
149,Donkey Kong Country 2: Diddy's Kong Quest,1995.0,Platform
150,Medal of Honor: Rising Sun,2003.0,Shooter
151,Kirby's Dream Land,1992.0,Platform
152,Microsoft Flight Simulator,1996.0,Simulation
153,Guitar Hero II,2006.0,Misc
154,Assassin's Creed II,2009.0,Action
155,Super Mario Bros. Deluxe,1999.0,Platform
156,Professor Layton and the Curious Village,2007.0,Adventure
157,LEGO Star Wars: The Complete Saga,2007.0,Action
158,Resident Evil,1996.0,Action
159,Tony Hawk's Pro Skater,1999.0,Sports
160,Mario & Sonic at the Olympic Games,2008.0,Sports
161,Warzone 2100,1999.0,Strategy
162,Spyro the Dragon,1998.0,Platform
163,Call of Duty: World at War,2008.0,Shooter
164,Guitar Hero III: Legends of Rock,2007.0,Misc
165,Link's Crossbow Training,2007.0,Shooter
166,The Legend of Zelda: Phantom Hourglass,2007.0,Adventure
167,Final Fantasy XIII,2009.0,Role-Playing
168,Madden NFL 06,2005.0,Sports
169,FIFA Soccer 11,2010.0,Sports
170,Fable III,2010.0,Role-Playing
171,Pokémon Mystery Dungeon: Explorers of Time / Darkness,2007.0,Role-Playing
172,Diddy Kong Racing,1997.0,Racing
173,Dr. Mario,1990.0,Puzzle
174,Resident Evil 5,2009.0,Action
175,Crash Team Racing,1999.0,Racing
176,Grand Theft Auto: Vice City Stories,2006.0,Action
177,Driver 2,2000.0,Action
178,Assassin's Creed III,2012.0,Action
179,The Simpsons: Hit & Run,2003.0,Racing
180,Tony Hawk's Pro Skater 2,2000.0,Sports
181,The Lord of the Rings: The Two Towers,2002.0,Action
182,Tomb Raider,1996.0,Action
183,The Legend of Zelda: A Link to the Past,1991.0,Adventure
184,The Legend of Zelda: The Wind Waker,2002.0,Adventure
185,Uncharted: Drake's Fortune,2007.0,Action
186,God of War III,2010.0,Action
187,Assassin's Creed,2007.0,Adventure
188,Madden NFL 2005,2004.0,Sports
189,Guitar Hero III: Legends of Rock,2007.0,Misc
190,The Elder Scrolls V: Skyrim,2011.0,Role-Playing
191,Assassin's Creed: Brotherhood,2010.0,Action
192,Madden NFL 07,2006.0,Sports
193,Spider-Man: The Movie,2002.0,Action
194,FIFA Soccer 13,2012.0,Action
195,Dragon Warrior VII,2000.0,Role-Playing
196,LEGO Star Wars: The Complete Saga,2007.0,Action
197,God of War,2005.0,Action
198,Animal Crossing: City Folk,2008.0,Simulation
199,Tony Hawk's Pro Skater 3,2001.0,Sports
200,Winning Eleven: Pro Evolution Soccer 2007,2006.0,Sports
201,Guitar Hero III: Legends of Rock,2007.0,Misc
202,Zelda II: The Adventure of Link,1987.0,Adventure
203,Mario & Sonic at the Olympic Winter Games,2009.0,Sports
204,Need for Speed: Most Wanted,2005.0,Racing
205,Assassin's Creed: Brotherhood,2010.0,Action
206,Sonic the Hedgehog,1991.0,Platform
207,Michael Jackson: The Experience,2010.0,Misc
208,Namco Museum,2001.0,Misc
209,Metal Gear Solid 3: Snake Eater,2004.0,Action
210,Batman: Arkham City,2011.0,Action
211,Warcraft II: Tides of Darkness,1995.0,Strategy
212,FIFA Soccer 06,2005.0,Sports
213,EyeToy Play,2003.0,Misc
214,Assassin's Creed III,2012.0,Action
215,Excitebike,1984.0,Racing
216,Frogger,1997.0,Action
217,Madden NFL 2003,2002.0,Sports
218,Resistance: Fall of Man,2006.0,Shooter
219,Super Mario World 2: Yoshi's Island,1995.0,Platform
220,Gran Turismo 5 Prologue,2007.0,Racing
221,Half-Life,1997.0,Shooter
222,Fable II,2008.0,Role-Playing
223,FIFA 07 Soccer,2006.0,Sports
224,Street Fighter II Turbo,1992.0,Fighting
225,Kingdom Hearts II,2005.0,Role-Playing
226,Daxter,2006.0,Platform
227,God of War II,2007.0,Action
228,FIFA Soccer 12,2011.0,Sports
229,World Soccer Winning Eleven 9,2005.0,Sports
230,Namco Museum Vol.3,1996.0,Misc
231,Tekken Tag Tournament,2000.0,Fighting
232,Star Fox 64,1997.0,Shooter
233,Fallout 3,2008.0,Role-Playing
234,Golf,1984.0,Sports
235,Forza Motorsport 2,2007.0,Racing
236,World of Warcraft: The Burning Crusade,2007.0,Role-Playing
237,World of Warcraft: Wrath of the Lich King,2008.0,Role-Playing
238,Namco Museum: 50th Anniversary,2005.0,Misc
239,The Elder Scrolls IV: Oblivion,2006.0,Role-Playing
240,Professor Layton and the Diabolical Box,2007.0,Adventure
241,Forza Motorsport 4,2011.0,Racing
242,Carnival Games,2007.0,Misc
243,Donkey Kong Land,1994.0,Platform
244,Assassin's Creed: Revelations,2011.0,Action
245,Tony Hawk's Underground,2003.0,Sports
246,StarCraft II: Wings of Liberty,2010.0,Strategy
247,Tekken 5,2005.0,Fighting
248,Dragon Warrior III,1988.0,Role-Playing
249,World Soccer Winning Eleven 8 International,2004.0,Sports
250,Namco Museum Vol.1,1995.0,Misc
251,EA Sports Active,2009.0,Sports
252,Assassin's Creed: Revelations,2011.0,Action
253,The Legend of Zelda: Link's Awakening,1992.0,Adventure
254,RollerCoaster Tycoon,,Strategy
255,Flash Focus: Vision Training in Minutes a Day,2007.0,Misc
256,Resident Evil Director's Cut,1996.0,Action
257,MotorStorm,2006.0,Racing
258,The Sims: Unleashed,2002.0,Simulation
259,Harry Potter and the Sorcerer's Stone,2001.0,Action
260,StarCraft,1998.0,Strategy
261,Big Brain Academy: Wii Degree,2007.0,Misc
262,Mario & Luigi: Bowser's Inside Story,2009.0,Role-Playing
263,Resident Evil 3: Nemesis,1999.0,Action
264,Spyro: Year of the Dragon,2000.0,Platform
265,Batman: Arkham Asylum,2009.0,Action
266,FIFA Soccer 2005,2004.0,Sports
267,Pokémon Trading Card Game,1998.0,Strategy
268,Tomodachi Collection,2009.0,Misc
269,Tony Hawk's Pro Skater 4,2002.0,Sports
