genre,artist_name,track_name,popularity,energy,tempo,valence
Movie,Henri Salvador,C'est beau de faire un Show,0,0.91,166.969,0.814
Movie,Martin & les fées,Perdu d'avance (par Gad Elmaleh),1,0.737,174.003,0.816
Movie,Joseph Williams,Don't Let Me Be Lonely Tonight,3,0.131,99.488,0.368
Movie,Henri Salvador,Dis-moi Monsieur Gordon Cooper,0,0.326,171.758,0.227
Movie,Fabien Nataf,Ouverture,4,0.225,140.576,0.39
Movie,Henri Salvador,Le petit souper aux chandelles,0,0.0948,87.479,0.358
Movie,Martin & les fées,"Premières recherches (par Paul Ventimila, Lorie Pester, Véronique Jannot, Michèle Laroque & Gérard Lenorman)",2,0.27,82.873,0.533
Movie,Laura Mayne,Let Me Let Go,15,0.269,96.827,0.274
Movie,Chorus,Helka,0,0.481,125.08,0.765
Movie,Le Club des Juniors,Les bisous des bisounours,10,0.705,137.496,0.718
Movie,Leopold Stokowski,Symphony No.4 In E Minor Op.98 : IV. Allegro Energico E Passionato,0,0.145,85.225,0.0849
Movie,Randy Newman,The Hanging (Maverick - Original Motion Picture Score) - Remastered,2,0.133,91.739,0.118
Movie,Idoles De La Musique,J'ai demandé à la lune,4,0.6,110.026,0.433
Movie,Chorus,Mangala Aarti,3,0.264,110.068,0.742
Movie,Richard M. Sherman,Keys of Love,0,0.174,115.022,0.27
Movie,Michel Roux,Les aventures d'Arsène Lupin: 813 - Partie 6,0,0.405,83.56,0.48
Movie,Jean Claude Corbel,Diane,0,0.237,108.508,0.298
Movie,Bernard Minet,Ultra Man 80,3,0.953,129.959,0.926
Movie,Henri Salvador,Veunise,1,0.491,71.633,0.516
Movie,Amalya,Ladies And Gentlemen,4,0.748,184.063,0.733
Movie,Martin & les fées,"Tout est possible (par Anggun, Dany Brillant, Garou, Gérard Lenorman, Julie Zenatti, Lisa Angell, Lorie Pester, Natasha St-Pier, Patrick Fiori, Paul Ventimila, Sara Carreira, Veronique Jannot & Vincent Niclo)",1,0.436,79.542,0.32
Movie,Dorothée,Clic clac cloc,1,0.504,128.052,0.682
Movie,Henri Salvador,Monsieur Boum Boum,8,0.804,127.999,0.836
Movie,Jean Claude Corbel,Pourquoi aller plus loin ?,0,0.696,114.752,0.833
Movie,Henri Salvador,Quand je monte chez toi,5,0.298,156.35,0.396
Movie,Jean Piat,Comme minuit sonnait,0,0.218,125.521,0.591
Movie,Henri Salvador,Le Fêtard,0,0.594,111.361,0.669
Movie,Lucie Dolene,Le mariage des poupées,0,0.481,136.182,0.728
Movie,Henri Salvador,Une chanson douce,2,0.384,126.892,0.971
Movie,Chorus,Mangani – Do Banjare / Amba Heth,0,0.5,112.965,0.756
Movie,Chorus,A ty się śmiejesz ze mnie,0,0.941,145.125,0.812
Movie,Martin & les fées,Une journée d'école qui s'achève (par Véronique Jannot),4,0.283,70.941,0.751
Movie,Henri Salvador,C Est Le Be Bop,0,0.44,84.173,0.747
Movie,Henri Salvador,La Samba De Là-Bas,0,0.418,128.494,0.858
Movie,Chorus,Ambarsare Diyan Warhiyan,0,0.653,94.011,0.968
Movie,Henri Salvador,Silence on tourne,0,0.468,116.674,0.908
Movie,Chorus,For the Game,0,0.826,126.0,0.637
Movie,Henri Salvador,Quand un artiste - live,1,0.497,121.719,0.569
Movie,Richard M. Sherman,Afterglow,0,0.2,99.028,0.188
Movie,Larry Groce,"Sailing, Sailing",0,0.654,118.909,0.618
Movie,Chorus,Tehni Pe Kisi Shajar,0,0.366,83.102,0.856
Movie,Leopold Stokowski,"Bourrée, From English Suite No. 2, BWV 807",1,0.0638,77.397,0.548
Movie,Henri Salvador,La Vie grise,0,0.107,77.719,0.222
Movie,Patrick Rocca,To Be or Not to Be,1,0.456,143.797,0.691
Movie,Ken Page,Dancing with Gene,0,0.512,138.484,0.464
Movie,Ken Page,Penn Station - Seesaw,0,0.528,69.547,0.735
Movie,Bernard Minet,Dragon Ball GT,4,0.937,134.905,0.641
Movie,Debbie Davis,I'll Feel Much Better When You Cry,3,0.773,120.07,0.616
Movie,Henri Salvador,"La samba de là-bas (De l'opérette ""Le Chevalier Bayard"")",0,0.636,128.111,0.932
Movie,Dorothée,J'ai retrouvé ma valise,1,0.341,121.628,0.911
Movie,Claire Guyot,Le silence,1,0.26,93.186,0.371
Movie,Chantal Goya,Animauxville (Départ) - Live,5,0.932,145.695,0.393
Movie,Henri Salvador,Sketch producteur (suite),1,0.606,167.889,0.499
Movie,Lucie Dolene,Sphinx,0,0.317,120.689,0.509
Movie,Jean Piat,L'Âne chargé d'éponges et l'Âne chargé de sel,0,0.147,32.244,0.595
Movie,Justin Hurwitz,"Rialto - From ""La La Land"" Score",3,0.0148,74.756,0.592
Movie,Chorus,Stous athanatous nekrous (To Immortal Deads),0,0.151,75.964,0.369
Movie,Henri Salvador,Bon Dieu qu'elle est con - live,1,0.294,109.024,0.279
Movie,Randy Newman,Jack To The Rescue - Meet The Parents/Soundtrack,1,0.0808,106.209,0.183
Movie,Chorus,Shree Ram Chant,4,0.797,127.945,0.563
Movie,Marie Ruggieri,"Oh quel chien/Il se traîne - From ""Lady and the Tramp""/French Soundtrack Version",0,0.16,108.483,0.193
Movie,Chorus,Mangal Aarti,0,0.346,81.668,0.601
Movie,Henri Salvador,Malgré tes serments,0,0.156,84.488,0.336
Movie,Henri Salvador,Audustin ! Y'a quelqu'un qui te demande,0,0.356,139.526,0.691
Movie,Chorus,Nadipinche Naa Naayaka,0,0.679,115.136,0.84
Movie,Karine Costa,Super Insomniaque,0,0.847,205.455,0.757
Movie,Henri Salvador,Papa loves mambo,0,0.702,149.17,0.918
Movie,Chorus,Om Jayanti Mangla,0,0.253,107.94,0.469
Movie,Dorothée,J'ai vidé ma valise,0,0.557,141.148,0.967
Movie,Chorus,Takhti Par Takhti,0,0.697,105.921,0.914
Movie,Fabien Nataf,I Try,4,0.224,103.926,0.761
Movie,Pascal Laffarge,Il pleut bergère,0,0.384,91.858,0.33
Movie,Frank Churchill,Snow White: Taas paiva kaunein on (Some Day My Prince Will Come),0,0.151,189.101,0.0767
Movie,Chorus,Baaramma - Bit,0,0.174,94.708,0.366
Movie,Jean Claude Corbel,Le Vilain Petit Canard 2,0,0.231,110.924,0.493
Movie,Jean Claude Corbel,Les poissons voyageurs,0,0.275,107.945,0.413
Movie,Dominique Tirmont,La Toulousaine,0,0.448,90.92,0.679
Movie,Henri Salvador,Monsieur Le Bon Dieu,0,0.153,73.134,0.352
Movie,Jean Claude Corbel,Le voyage à Lilliput,0,0.345,88.225,0.351
Movie,Jean Claude Corbel,Le Chat Botté 4,0,0.266,84.943,0.633
Movie,Chorus,Tsamikos Horos (Tsamikos Dance),0,0.605,90.014,0.727
Movie,Chorus,Lalitha Parameshwari,0,0.651,109.982,0.813
Movie,Jean Claude Corbel,Le Petit Poucet 2,0,0.253,125.097,0.504
Movie,Leopold Stokowski,"We All Believe In One God, Giant Fugue, BWV 680",1,0.185,143.78,0.195
Movie,Dominique Tirmont,La petite diligence,1,0.509,92.235,0.77
Movie,Debbie Davis,Rap-a-Cito,6,0.658,120.984,0.334
Movie,Chorus,Thandeye Oh,0,0.642,111.132,0.758
Movie,Chorus,Banga Aamar,0,0.444,80.581,0.373
Movie,Bernard Minet,Dis-moi monsieur Bernard Minet,3,0.626,81.994,0.808
Movie,Chorus,Sai Parameshwar Sai Karuneshwar,7,0.376,79.027,0.59
Movie,Chorus,Shanthi Koru,0,0.833,139.031,0.194
Movie,Chorus,Aa Divyanaama,0,0.607,131.504,0.699
Movie,Martin & les fées,Le plus beau de tes rêves (par Anggun),4,0.522,153.856,0.385
Movie,Henri Salvador,Chanson surrealiste,0,0.347,104.997,0.571
Movie,Henri Salvador,Grosse Fille Ne Pleure Pas - Remastered,11,0.643,72.354,0.736
Movie,Claire Guyot,Assise au bord du monde,0,0.477,77.528,0.191
Movie,Chorus,Koti Chennaya(Vol.1 &amp; 2),0,0.331,102.244,0.529
Movie,Henri Salvador,"Dis-moi qu'tu m'aimes, rock",1,0.632,87.819,0.748
Movie,Richard M. Sherman,Forgotten Dreams,0,0.0478,82.388,0.111
Movie,Chorus,High (feat. Syross & Messieh),0,0.63,149.973,0.19
Movie,Chorus,Kaisi Anokhi Mehfil,0,0.846,111.79,0.924
Movie,Henri Salvador,24 heures par jour,0,0.156,117.846,0.512
Movie,Choeurs,Georges Bizet : Sur la place,0,0.196,98.843,0.372
Movie,Chorus,Daivapithave,0,0.422,74.05,0.387
Movie,Chorus,Ven a una nave espacial,1,0.45,125.081,0.663
Movie,Henri Salvador,Bon appétit mademoiselle,0,0.461,174.504,0.768
Movie,Chorus,Shri Gayatri Mahamantra,0,0.122,110.159,0.299
Movie,Larry Groce,Choices,1,0.377,75.2,0.587
Movie,Leopold Stokowski,Symphony No.1 In C Major : IV. Allegro Vivace,2,0.384,151.039,0.379
Movie,Debbie Davis,You Know I'm No Good,3,0.498,112.398,0.719
Movie,Chorus,Czy Pamiętasz,0,0.704,179.966,0.405
Movie,Les Hérissons,Mabrouka Ananas ma Nana,0,0.86,180.029,0.845
Movie,Henri Salvador,Cherche la rose,3,0.312,80.977,0.146
Movie,Chorus,I Denne Søte Juletid: Kom La Oss Gå Og Se!,0,0.182,121.235,0.478
Movie,Michel Roux,Les aventures d'Arsène Lupin: 813 - Partie 5,0,0.415,101.296,0.405
Movie,Debbie Davis,Mele Kalikimaka,0,0.49,103.356,0.939
Movie,Chorus,Swami Samartha Majhe Aai,0,0.746,107.854,0.745
Movie,Randy Newman,This Is Gonna Be Good,6,0.196,167.96,0.0625
Movie,Idoles De La Musique,Marie,0,0.609,114.019,0.198
Movie,Jean Claude Corbel,Tom Pouce 1,0,0.204,173.591,0.673
Movie,Jean Claude Corbel,Les premiers mammifères,0,0.286,95.182,0.439
Movie,Martin & les fées,"Une énigmatique jeune femme blonde (par Véronique Jannot, Paul Ventimila & Arielle Dombasle)",1,0.195,77.648,0.58
Movie,Bernard Minet,Juliette je t'aime - Générique,10,0.495,84.958,0.782
Movie,Henri Salvador,Il Pleut Bergère - Remastered,5,0.454,88.369,0.708
Movie,Jean Claude Corbel,Aladin 1,0,0.462,130.031,0.409
Movie,Larry Morey,The Silly Song (The Dwarfs' Yodel Song),1,0.633,115.222,0.973
Movie,Henri Salvador,Mazurka Pour Ma Mie,1,0.713,83.379,0.878
Movie,Houcine,Je m'accroche,1,0.554,107.998,0.687
Movie,Frank Churchill,"Chorale for Snow White - From ""Snow White and the Seven Dwarfs""/Score",1,0.00154,65.472,0.539
Movie,Chorus,Titlee Pyari Titlee,0,0.389,94.089,0.848
Movie,Randy Newman,The Pros Go To College,2,0.107,107.511,0.072
Movie,Lucie Dolene,"Sept variations sur ""La Seine""",0,0.214,133.753,0.336
Movie,Randy Newman,A New Day: 7:00 A.M.,1,0.041,136.327,0.0378
Movie,Frank Churchill,"Whistle While You Work - London, Dec. 8, 1938, HMV B-8835, MX. OEA 7224-1",0,0.158,110.319,0.807
Movie,China Moses,Nicotine,6,0.392,114.95,0.36
R&B,Mary J. Blige,Be Without You - Kendu Mix,65,0.689,146.496,0.693
R&B,Rihanna,Desperado,63,0.61,94.384,0.323
R&B,Yung Bleu,Ice On My Baby (feat. Kevin Gates) - Remix,62,0.52,75.047,0.0862
R&B,Surfaces,Heaven Falls / Fall on Me,61,0.366,85.352,0.768
R&B,Olivia O'Brien,Love Myself,68,0.621,100.006,0.466
R&B,ELHAE,Needs,61,0.331,124.657,0.225
R&B,Nao,Make It Out Alive (feat. SiR),64,0.649,147.935,0.618
R&B,Frank Ocean,Seigfried,66,0.255,125.004,0.37
R&B,Layton Greene,Roll In Peace,60,0.507,140.368,0.7
R&B,Usher,You Make Me Wanna...,69,0.639,164.088,0.922
R&B,Mariah Carey,Hero,71,0.378,119.987,0.178
R&B,Beyoncé,Flawless Remix,69,0.659,136.801,0.457
R&B,Jason Derulo,Tip Toe (feat. French Montana),76,0.709,98.062,0.62
R&B,TWENTY88,On The Way,61,0.687,129.902,0.324
R&B,Big Sean,I Know,66,0.345,120.015,0.277
R&B,Christina Aguilera,"Lady Marmalade - From ""Moulin Rouge"" Soundtrack",65,0.766,109.897,0.673
R&B,Tierra Whack,CLONES,61,0.494,146.003,0.6
R&B,Jessie Reyez,Body Count (feat. Normani & Kehlani) - Remix,62,0.586,149.736,0.264
R&B,6LACK,Disconnect,65,0.337,66.933,0.184
R&B,SZA,Childs Play (feat. Chance the Rapper),65,0.342,99.995,0.22
R&B,Kyle Dion,Brown,63,0.698,72.417,0.616
R&B,Roy Woods,Get You Good,68,0.502,86.185,0.329
R&B,Tove Lo,Habits (Stay High),67,0.65,110.003,0.348
R&B,James Blake,Can't Believe The Way We Flow,65,0.536,143.948,0.29
R&B,Joji,SLOW DANCING IN THE DARK - Loud Luxury Remix,65,0.883,122.026,0.509
R&B,Jennifer Lopez,Dinero,70,0.881,127.759,0.643
R&B,Rihanna,Hate That I Love You,72,0.73,93.867,0.732
R&B,Miguel,Remember Me (Dúo),66,0.548,84.991,0.617
R&B,TLC,Creep,68,0.458,92.94,0.797
R&B,PARTYNEXTDOOR,Wus Good / Curious,67,0.537,82.878,0.453
R&B,MIKExANGEL,Complicated,64,0.516,118.364,0.343
R&B,Nick Jonas,"Introducing Me - From ""Camp Rock 2: The Final Jam""",68,0.496,113.072,0.676
R&B,Tory Lanez,S.w.I.n.G (feat. PnB Rock & Trey Songz),67,0.777,138.007,0.526
R&B,Chris Brown,Privacy,68,0.58,97.092,0.428
R&B,Alina Baraz,Lavender and Velvet,62,0.512,127.908,0.354
R&B,Dreezy,Body,62,0.567,149.968,0.574
R&B,T-Pain,Here It Comes (feat. Russ),57,0.597,140.03,0.306
R&B,PJ Morton,Say So (feat. JoJo),63,0.409,75.231,0.234
R&B,Tom Misch,Movie,67,0.379,122.043,0.182
R&B,Usher,OMG (feat. will.i.am),70,0.745,129.998,0.326
R&B,Jeremih,All The Time,70,0.44,109.959,0.0336
R&B,Dijon,Skin,62,0.616,94.934,0.551
R&B,Yuna,Crush,65,0.414,130.031,0.355
R&B,Keri Hilson,Pretty Girl Rock,64,0.87,160.014,0.9
R&B,Steve Lacy,Some,63,0.554,104.01,0.634
R&B,The Japanese House,Saw You In A Dream,62,0.446,94.044,0.685
R&B,T-Pain,A Million Times (feat. O.T. Genasis),59,0.519,96.061,0.61
R&B,Tory Lanez,KeeP IN tOUcH (feat. Bryson Tiller),68,0.886,109.016,0.562
